1265686	0	total (QC-passed reads + QC-failed reads)
1265686	0	primary
0	0	secondary
0	0	supplementary
0	0	duplicates
0	0	primary duplicates
813802	0	mapped
64.30%	N/A	mapped %
813802	0	primary mapped
64.30%	N/A	primary mapped %
179386	0	paired in sequencing
89693	0	read1
89693	0	read2
94630	0	properly paired
52.75%	N/A	properly paired %
179386	0	with itself and mate mapped
0	0	singletons
0.00%	N/A	singletons %
0	0	with mate mapped to a different chr
0	0	with mate mapped to a different chr (mapQ>=5)
